Name;Start latitude;Start longitude;Start altitude;Stop latitude;Stop longitude;Stop altitude
1;32.750960956908095;35.537223595795865;968;32.70175238154284;35.56782011831978;968
2;32.74968256579409;35.53528608519458;968;32.699292690578126;35.56661831938558;968
3;32.7491340851219;35.53289474031436;968;32.69969866834977;35.56363468512902;968
4;32.74686782725878;35.531571589173296;968;32.70041708895712;35.56045671780429;968
5;32.73940118028069;35.533482482017504;968;32.70113548714697;35.557278707132475;968
6;32.70185386291277;35.554100653123825;968;32.72352346466186;35.54062449145827;968
7;32.70257221624794;35.550922555788596;968;32.72140437529764;35.53921052534217;968
8;32.70347802877682;35.54762781270804;968;32.71968433118569;35.53754845604545;968
9;32.71814579860247;35.53577355304718;968;32.71369320349196;35.5385429095943;968
10;32.71660693196224;35.53399890913865;968;32.7146408810665;35.53522177048444;968
